name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5172413793103449,13.99
2_DecisionTree,Decision Tree,accuracy,0.9540229885057471,18.36
3_Linear,Linear,accuracy,1.0,17.54
4_Default_Xgboost,Xgboost,accuracy,0.9310344827586207,17.5
5_Default_NeuralNetwork,Neural Network,accuracy,1.0,15.91
6_Default_RandomForest,Random Forest,accuracy,0.9885057471264368,20.68
Ensemble,Ensemble,accuracy,1.0,0.33
