name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5287356321839081,1.51
2_DecisionTree,Decision Tree,accuracy,0.9540229885057471,5.47
3_Linear,Linear,accuracy,0.9885057471264368,4.85
4_Default_Xgboost,Xgboost,accuracy,1.0,5.14
5_Default_NeuralNetwork,Neural Network,accuracy,0.9770114942528736,3.2
6_Default_RandomForest,Random Forest,accuracy,1.0,8.24
Ensemble,Ensemble,accuracy,1.0,0.21
