name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5172413793103449,0.84
2_DecisionTree,Decision Tree,accuracy,0.8850574712643678,5.39
3_Linear,Linear,accuracy,0.8160919540229885,4.44
4_Default_Xgboost,Xgboost,accuracy,0.9425287356321839,4.81
5_Default_NeuralNetwork,Neural Network,accuracy,0.9425287356321839,2.96
6_Default_RandomForest,Random Forest,accuracy,0.9080459770114943,8.57
Ensemble,Ensemble,accuracy,0.9655172413793104,0.36
