,mu11,mu12,mu21,mu22,sigma11,sigma12,sigma21,sigma22,time,loss
26,0.98892089,0.22269223,0.68585784,0.21619039,-17.07838886,-1.1523169,-1.38429117,-2.39246908,14767.0,1511.064434314559
27,1.35165462,0.43936812,0.6643451,0.18341279,-8.83962316,-1.32702402,-1.39423366,-2.32243592,17182.0,1519.4190746952136
28,1.72897893,0.44758025,0.78200714,0.32797818,-7.28491647,-1.28831669,-1.33162227,-2.25661792,13823.0,1543.5962899503922
29,0.478359,0.16476152,1.33854847,0.48432765,-8.97246696,-1.32500573,-1.32587305,-2.57926903,12827.0,1518.6038927442762
30,0.51572594,0.11198117,0.92287464,0.26665625,-9.00540897,-1.4021845,-1.40076781,-2.53614691,18187.0,1506.0072485455837
31,0.86956774,0.37148982,1.11651579,0.41743789,-6.38416495,-1.33705164,-1.38323373,-2.55711482,15112.0,1529.566604054534
32,1.37455196,0.43988585,1.32631008,0.28773509,-4.50976609,-1.26389833,-1.19111395,-2.26534456,17994.0,1542.2238402610396
33,1.19306447,0.42114056,1.3876831,0.53259698,-5.36094767,-1.33601089,-1.31251859,-2.60323463,13997.0,1553.7169704970877
34,1.63991593,0.61322299,1.4432358,0.41979211,-9.38697962,-1.27521292,-1.3912915,-2.52471766,10368.0,1570.1265138215322
35,0.77354564,0.17319413,0.81671903,0.25628069,-2.86639367,-1.33286866,-1.27056735,-3.95636559,22983.0,1500.3654360245096
36,1.00001168,0.34865069,1.38283618,0.43666825,-6.00398698,-1.20528671,-1.26936764,-2.53950701,11076.0,1533.6921233081298
37,1.07324955,0.47019932,0.84449602,0.3260387,-5.89980286,-1.32848163,-1.41624691,-2.5591751,16619.0,1538.0241886968786
38,1.13524441,0.30603389,1.06928689,0.27658917,-5.6458801,-1.31614053,-1.49546886,-2.59889713,20517.0,1523.1872232107348
39,0.97293386,0.28120335,0.55989477,0.13608298,-12.08889791,-1.3572791,-1.31438578,-2.3564792,21571.0,1507.7468189727122
40,0.97040259,0.43537298,1.28430128,0.36182108,-7.00354415,-1.31538833,-1.39264799,-2.59192554,16977.0,1538.0266247656382
41,0.867771884,0.357057186,1.67256657,0.474091468,-450.090197,-1.26181317,-1.38358856,-2.45362787,14149.0,1537.9023519388472
42,0.75930586,0.33034778,0.48659166,0.12815786,-31.38174987,-1.46489519,-1.39738306,-2.46239489,19497.0,1522.3679890210262
43,1.33579388,0.42800538,0.8619795,0.26230223,-4.45083363,-1.33853193,-1.3559857,-2.569915,21338.0,1516.5910422164657
44,0.7176536,0.11676878,0.76478387,0.22544337,-2.41442931,-1.31045548,-1.23701442,-3.67645078,11581.0,1513.697123555033
45,1.20739102,0.3720969,1.58995299,0.44041037,-3.40518903,-1.25311792,-1.39989341,-3.58843089,10580.0,1543.936143316802
46,0.52256007,0.07797638,1.07472119,0.34386743,-3.44698748,-1.37573632,-1.32976042,-3.03829275,21732.0,1508.7635190456672
47,1.61003906,0.44258259,0.96316782,0.35531425,-7.57784909,-1.27248214,-1.31316438,-2.42824234,6816.0,1530.926561383487
48,0.8916893,0.248742,1.41253621,0.54254032,-3.84413299,-1.21637717,-1.34418679,-2.78612009,27886.0,1534.4955376050812
49,1.11886508,0.29459297,1.0717581,0.49393896,-6.95330422,-1.34355641,-1.43726844,-2.42691158,21232.0,1536.7116041656016
50,1.03893631,0.37056869,0.82039981,0.27888644,-5.59348571,-1.21665105,-1.34341134,-2.41238808,40279.0,1516.149672315947
51,0.95823208,0.3482543,1.17190506,0.44082352,-4.52973359,-1.26341458,-1.34575724,-2.88050983,28758.0,1529.3527127965583
52,1.56256169,0.35821645,0.50277758,0.22242776,-4.92458035,-1.32613098,-1.29062447,-2.63506556,26939.0,1534.4667849191778
53,1.09119142,0.31174705,0.50811013,0.04350027,-6.40482625,-1.3035595,-1.4539134,-2.5712439,40430.0,1517.3832066299872
54,0.89160327,0.3492885,1.5450956,0.59274963,-7.1863655,-1.37185373,-1.28410303,-2.48766218,22622.0,1552.0004823816862
55,1.33869016,0.42500244,1.22891343,0.30956169,-4.48465055,-1.22576448,-1.33229425,-2.59317804,39427.0,1521.815299209215
56,1.29728004,0.50808213,0.51160272,0.13450137,-3.98388671,-1.3570647,-1.39583722,-2.96361866,26411.0,1526.4621974825257
57,0.5609244,0.23545341,0.92156997,0.26414064,-3.26886473,-1.35337412,-1.33047193,-2.78378927,27984.0,1512.4050097170586
58,1.23759465,0.45317468,1.36710062,0.40743971,-12.33811845,-1.26998799,-1.42483313,-2.39313404,23195.0,1545.5453817205537
59,0.87534155,0.21585891,1.23123829,0.24825315,-5.693211,-1.27344283,-1.39886144,-2.65632577,30666.0,1519.6020995136198
60,0.95274318,0.28696888,1.05297259,0.2566575,-6.03789101,-1.35740915,-1.37739352,-2.47752943,32455.0,1519.396762933799
61,1.22770921,0.38895907,0.81714709,0.35214378,-7.06889847,-1.24486685,-1.36315263,-2.3770334,21150.0,1526.9880048350628
62,0.65802694,0.18092917,1.20250746,0.32960765,-4.55965951,-1.25487777,-1.43013308,-2.60910226,26757.0,1505.7605475013402
63,0.53806675,0.07778407,2.03451881,0.85038081,-6.85548951,-1.28134169,-1.29763629,-2.47377797,21206.0,1548.1704216414632
64,1.53868158,0.45603179,0.58180961,0.27392084,-3.95867656,-1.32752674,-1.26222002,-2.54876188,33188.0,1528.0467836400946
65,1.37281323,0.48977019,0.79179849,0.19546634,-6.52902726,-1.35395844,-1.37847428,-2.62227595,32568.0,1521.744855880304
66,1.78123926,0.60369366,1.22630081,0.50089606,-8.17513797,-1.26493936,-1.38736314,-2.79277649,28523.0,1566.4556722831092
67,1.50602618,0.51854614,0.84361251,0.37368682,-8.3840364,-1.18805318,-1.4134979,-2.77581183,23202.0,1542.008812121559
68,0.74591416,0.22073689,0.94412395,0.26612438,-3.94500284,-1.34525918,-1.29454941,-2.45486105,49266.0,1505.6031218549354
69,0.5069279,0.17524748,1.15334909,0.31343028,-6.44969487,-1.33323683,-1.26983486,-2.51619626,45465.0,1515.2738461466142
70,0.98417615,0.37583487,1.15090505,0.43141996,-10.73039721,-1.27054604,-1.48718547,-2.55497156,31752.0,1529.0822023970152
