,0
0,0.9932885906040269
1,0.9865771812080537
2,0.9865771812080537
3,1.0
4,0.9664429530201343
5,0.9865771812080537
6,0.9932885906040269
7,0.9932885906040269
8,0.9731543624161074
9,0.9865771812080537
10,1.0
11,0.9932885906040269
12,0.9664429530201343
13,0.9865771812080537
14,0.9932885906040269
15,0.9865771812080537
16,0.9798657718120806
17,0.9731543624161074
18,0.9731543624161074
19,0.9865771812080537
20,1.0
21,1.0
22,0.9798657718120806
23,1.0
24,1.0
25,0.9865771812080537
26,0.9932885906040269
27,0.9731543624161074
28,0.9798657718120806
29,1.0
30,0.9932885906040269
31,0.9932885906040269
32,0.9932885906040269
33,0.9932885906040269
34,0.9530201342281879
35,0.9932885906040269
36,0.9865771812080537
37,0.9865771812080537
38,0.9865771812080537
39,0.9932885906040269
40,1.0
41,0.9865771812080537
42,0.9865771812080537
43,1.0
44,1.0
45,0.9798657718120806
46,0.9865771812080537
47,0.9798657718120806
48,0.9932885906040269
49,1.0
