,loss
105,1753.3149759701612
106,1594.887348551388
107,1631.8561235211846
108,1644.3514092822988
109,1895.2504448426428
110,1680.1953818392496
111,1658.220660136211
112,1713.9353647517592
113,1971.5831989756557
114,1670.6691470758556
115,1641.702315881458
116,1631.02761050497
117,1701.8727787229925
118,1732.164293237219
119,1664.5100112376942
120,1563.4074939820791
121,1773.9007652019948
122,1785.2302892420123
123,1880.466610813628
124,1633.2187315543968
125,1742.7537250610796
126,1621.9991028272568
127,1542.674657295399
128,1600.8809345478646
129,1773.009823928389
130,1786.724149200404
131,1663.007742556327
132,1533.926020275713
133,1729.2303187618763
134,1649.1495099731417
135,1874.6740320353435
136,1629.400608851678
137,1618.4563204044614
138,1761.7537029089897
139,1540.1221069088003
140,1703.4949193453092
141,1716.986353550422
142,1630.673736818855
143,1626.1749488890052
144,1867.4357262729995
145,1733.995913058148
146,1882.8482091837136
147,1581.8660375637617
148,1705.1507617022476
149,1655.735501173681
150,1564.9786861948835
151,1880.2482587537747
152,1565.3530154224554
153,1493.132036895905
154,1866.748237059346
155,1627.870067262792
156,1863.4527782050625
157,1704.9747190722755
158,1689.691523773903
159,1608.5097612409618
160,1728.4588043812191
161,1756.4056666481515
162,1843.678453668663
163,1606.654197480468
164,1610.720373726785
165,1920.2842733948517
166,1553.63497768838
167,1592.6588918861069
168,1805.1269064266637
169,1545.3563431394716
170,1660.2691202427316
171,1676.3043359882397
172,1678.2985268991304
173,1842.0970283168444
174,1726.4734826846789
175,1980.698734706962
176,1752.7350256420332
177,1740.0152610715356
178,1631.7962793334966
179,1655.331096535003
180,1576.5788319588166
181,1850.0287933938848
182,1581.9236356535953
183,1684.9487922855726
184,1944.693055520224
185,1583.1694332260306
186,1610.9163665489614
187,1802.9851651488264
188,1893.180007716609
189,1565.1994774147508
190,1726.149035179157
191,1753.3512481750304
192,1595.4576241543705
193,1672.5729090914506
194,1784.7591680952062
195,1652.557994557289
196,1595.1430844784904
197,1671.5919704187138
198,1735.753416158408
199,1906.723337931576
200,1915.3742502543105
201,1678.3104412052585
202,1627.7527775327474
203,1560.8996283489475
204,1639.3061825059965
205,1584.4776531124105
206,1947.113703675768
207,1595.7547147480684
208,1774.9063750956373
209,1813.0219033481328
210,1586.100899378046
211,1743.825940897087
212,1815.410894179018
213,1738.0178594343793
214,1897.8339007466925
215,1652.8471702722088
216,1735.324342892853
217,1626.9792325182764
218,1679.0195461064998
219,1785.7056074633845
220,1728.3852766792884
221,1653.8335733281272
222,1771.9596964802731
223,1755.7461018622298
224,1676.666739022139
225,1696.6591106130072
226,1827.649559200939
227,1556.6660608305028
228,1635.1535072748272
229,1688.5432552152868
230,1608.724737424022
231,1623.6500294958785
232,1670.1400669114903
233,1680.9124106680536
234,1666.9588559672222
235,1759.3087245695606
236,1960.8882478128692
237,1579.4240753852778
238,1589.928408714448
239,1698.0432026337537
240,1571.4600128070851
241,1758.9457315957372
242,1684.7761560041183
243,1988.9477394308133
244,1677.3992459881708
245,1599.0925722992963
246,1615.4524846726415
247,1663.1721253758
248,1940.1563571875636
249,1580.2491545108778
250,1581.27172535676
251,1651.995525007951
252,1729.705754079825
253,1594.015054499654
254,1646.0841295062148
255,1567.0520233695242
256,1634.1020874377775
257,1608.0295778199172
258,1594.0131557254858
259,1663.789840332072
260,1632.4666155353616
261,1594.926137954778
262,1853.585859034395
263,1655.7593929138031
264,1643.6616828407753
265,1617.2281082765282
266,1586.6829352074324
267,1628.925003389918
268,1652.4641198330237
269,1663.1065868850674
270,1598.693369317734
271,1586.9683990613669
272,1617.4889393787444
273,1739.785029096521
274,1533.7948882345504
275,1568.2283462347705
276,1573.242612971393
277,1642.2359099786925
278,1590.4118604763466
279,1612.3639246157184
