name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5287356321839081,1.57
2_DecisionTree,Decision Tree,accuracy,0.9885057471264368,4.91
3_Linear,Linear,accuracy,1.0,4.48
4_Default_Xgboost,Xgboost,accuracy,0.9885057471264368,5.36
5_Default_NeuralNetwork,Neural Network,accuracy,0.9655172413793104,3.49
6_Default_RandomForest,Random Forest,accuracy,1.0,8.91
Ensemble,Ensemble,accuracy,1.0,0.46
