feature,weight
intercept,-2.516769714419894
return_mean1,-0.6889475421312939
return_mean2,-0.8819422905383301
return_sd1,-0.641447452191448
return_sd2,0.3165374495073949
return_skew1,-0.326549481589257
return_skew2,0.26196879344330753
return_kurtosis1,-1.6245213729583141
return_kurtosis2,-0.4533924134179048
return_autocorrelation_lag1_1,2.845168212936536
return_autocorrelation_lag1_2,0.22186364511943307
return_autocorrelation_lag1_rolling_sd1,-1.1093443114851063
return_autocorrelation_lag1_rolling_sd2,-0.37255334647511107
return_correlation_ts1_lag_0,1.2012389967646162
return_correlation_ts1_lag_1,0.8892890271566768
return_correlation_ts1_lag_2,0.8014125207986713
return_correlation_ts1_lag_3,0.8060645760132563
return_correlation_ts2_lag_1,0.8544662289578863
return_correlation_ts2_lag_2,0.8245886463402299
return_correlation_ts2_lag_3,0.7893038300714526
price2_granger_cause_price1,-0.7293573850543207
price1_granger_cause_price2,-0.404965667094253
