"","X1","X2","p_values"
"new_pair.155","CDNS","EXPE",0.012816066148412
"new_pair.156","HPE","HII",0.0128624515576744
"new_pair.157","WY","PVH",0.0133689873387005
"new_pair.158","BBWI","CBOE",0.0142028770509288
"new_pair.159","KEYS","POOL",0.0144720889484106
"new_pair.160","BLL","LVS",0.0157445985513368
"new_pair.161","CTLT","DVA",0.0157756282611092
"new_pair.162","CE","DVN",0.0158338672675805
"new_pair.163","FITB","O",0.016180557933829
"new_pair.164","LNC","DISH",0.0165496114027276
"new_pair.165","IVZ","ALXN",0.0167410228438127
"new_pair.166","KO","D",0.0175468224900824
"new_pair.167","AON","MCHP",0.0178776987935323
"new_pair.168","ROK","RCL",0.0184326916647242
"new_pair.169","FB","TROW",0.0185033669993294
"new_pair.170","MOS","DISCK",0.0187606241548783
"new_pair.171","AAL","UA",0.0196499541663845
"new_pair.172","MCD","CTSH",0.0197634582520433
"new_pair.173","MU","AKAM",0.0198065888253748
"new_pair.174","SWKS","FANG",0.0198336276794612
"new_pair.175","KIM","RL",0.020355137192414
"new_pair.176","MTD","GIS",0.0204231847658524
"new_pair.177","XRAY","NLSN",0.0206201306787621
"new_pair.178","WLTW","EIX",0.0206725590725307
"new_pair.179","DLR","GWW",0.0230293212634495
"new_pair.180","KR","GPC",0.0231283849103189
"new_pair.181","YUM","MLM",0.0240327499963144
"new_pair.182","PRU","CCL",0.0245874726268158
"new_pair.183","PLD","ULTA",0.0248760901357446
"new_pair.184","NWSA","IPGP",0.0263476350290241
"new_pair.185","GLW","TRMB",0.0263714805395001
"new_pair.186","NFLX","ABMD",0.0270367816475494
"new_pair.187","BWA","MRO",0.0289329279166146
"new_pair.188","IBM","TPR",0.0304591690636558
"new_pair.189","MTB","PRGO",0.0318936067029248
"new_pair.190","HON","HAS",0.0327298963304627
"new_pair.191","STX","EMN",0.0343631942601378
"new_pair.192","MXIM","LEG",0.0357096628104729
"new_pair.193","DXCM","WRB",0.0360576741538531
"new_pair.194","AAP","FRT",0.0363991609974816
"new_pair.195","CAT","MKTX",0.036710130202188
"new_pair.196","AFL","OMC",0.0377983596118194
"new_pair.197","TER","LKQ",0.0405043507324819
"new_pair.198","PTC","AIZ",0.0406386892135128
"new_pair.199","DHI","KSU",0.0407260712890105
"new_pair.200","MO","ABC",0.0408520772796742
"new_pair.201","IPG","INCY",0.0414186780042589
"new_pair.202","SCHW","PSX",0.0443287134746513
"new_pair.203","DE","NDAQ",0.0467433547162436
"new_pair.204","SRE","ROL",0.0472288991845209
"new_pair.205","IRM","RHI",0.0477905830922742
"new_pair.206","TXN","APTV",0.0481360169069991
"new_pair.207","CVX","OKE",0.0579902250358893
"new_pair.208","CB","HWM",0.0615529443356291
"new_pair.209","PM","UNM",0.0635472246611802
"new_pair.210","ETN","DFS",0.0668827856298268
"new_pair.211","AMP","KHC",0.0714685263788918
"new_pair.212","PSA","EXPD",0.0714783110749591
"new_pair.213","WRK","MHK",0.0726997601287488
"new_pair.214","DIS","USB",0.0747196838723561
"new_pair.215","SWK","LW",0.074950561684178
"new_pair.216","IQV","ROST",0.0794135832042144
"new_pair.217","FAST","PKI",0.0806604319494939
"new_pair.218","LMT","ALL",0.0814260064222447
"new_pair.219","TSCO","DISCA",0.0920798001065418
"new_pair.220","AVGO","ADM",0.0921908198589372
"new_pair.221","PEAK","IR",0.101477844369487
"new_pair.222","VTR","PFG",0.101682327233581
"new_pair.223","WBA","CBRE",0.102559037901856
"new_pair.224","QCOM","LOW",0.11591803846673
"new_pair.225","IP","APA",0.120755899039216
"new_pair.226","PCAR","AVY",0.124808931161053
"new_pair.227","KEY","RF",0.142201078899883
"new_pair.228","WDC","CLX",0.148821453948904
"new_pair.229","PEP","MNST",0.156983114347416
"new_pair.230","TFC","STZ",0.161529886002914
"new_pair.231","TT","DOV",0.174937477736958
"new_pair.232","SLB","VLO",0.186978155401467
"new_pair.233","FTNT","TDY",0.192046075315045
"new_pair.234","ADP","FFIV",0.215201763035923
"new_pair.235","DD","EFX",0.227828591565787
"new_pair.236","GILD","JCI",0.247730192590231
"new_pair.237","LYV","NWS",0.278335210779982
"new_pair.238","MAS","FBHS",0.28639868511996
"new_pair.239","HES","BIO",0.287786265549314
"new_pair.240","REGN","PAYX",0.333409598817029
"new_pair.241","XYL","CMA",0.346594937302863
"new_pair.242","CVS","VIAC",0.389930229520016
"new_pair.243","EA","HBI",0.410105908959369
"new_pair.244","HAL","ZION",0.448827234150762
"new_pair.245","CMCSA","EXR",0.464867581545366
"new_pair.246","SHW","EMR",0.494777186370254
"new_pair.247","PGR","LH",0.968676733446557
