"","x"
"1",0.690765173670493
"2",0.262021388784665
"3",0.99
"4",0.898638022126145
"5",0.881043168043521
"6",0.92260019396875
"7",0.952336774139461
"8",0.854557241154882
"9",0.989652406797734
"10",0.622085934204197
"11",0.780263826809118
"12",0.660610149962982
"13",0.99
"14",0.900795439339527
"15",0.619681833375802
"16",0.942399113019392
"17",0.99
"18",0.737860141787046
"19",0.99
"20",0.99
"21",0.544631307148621
"22",0.831903805766365
"23",0.827176920593331
"24",0.676731360488817
"25",0.980590676674229
"26",0.692514339866337
"27",0.99
"28",0.99
"29",0.99
"30",0.99
"31",0.847082398804715
"32",0.99
"33",0.227511759465415
"34",0.963422502428366
"35",0.99
"36",0.99
"37",0.99
"38",0.850741517079232
"39",0.981306682006548
"40",0.716392035675532
"41",0.548970461721951
"42",0.99
"43",0.99
"44",0.99
"45",0.924588890293641
"46",0.989420586913776
"47",0.976144526031048
"48",0.176773274334454
"49",0.960669101528461
"50",0.917444212355017
"51",0.983186021586586
"52",0.99
"53",0.99
"54",0.99
"55",0.343076742931851
"56",0.865004267437582
"57",0.97225705922179
"58",0.846461823284532
"59",0.99
"60",0.71499094514766
"61",0.722319870789275
"62",0.232985119869339
"63",0.911450262381588
"64",0.964147397293964
"65",0.01
"66",0.99
"67",0.99
"68",0.217303736779173
"69",0.987369338962367
"70",0.586055577541794
"71",0.913892678297337
"72",0.954030882515412
"73",0.97817750612793
"74",0.99
"75",0.989154243236169
"76",0.597115827747893
"77",0.99
"78",0.921367386868286
"79",0.69163239413278
"80",0.99
"81",0.715037458678439
"82",0.424635789441751
"83",0.936866413031568
"84",0.964767894632712
"85",0.99
"86",0.889301439574922
"87",0.99
"88",0.984202013268641
"89",0.99
"90",0.99
"91",0.99
"92",0.380150178609575
"93",0.970721915456599
"94",0.435325726485167
"95",0.927358295131328
"96",0.822672875613269
"97",0.99
"98",0.99
"99",0.99
"100",0.967478458025164
"101",0.597064507043747
"102",0.99
"103",0.99
"104",0.733214995252986
"105",0.99
"106",0.982000527748688
"107",0.74155740731292
"108",0.622417847735361
"109",0.647986520209923
"110",0.903425079202484
"111",0.936467514379172
"112",0.99
"113",0.739330580364227
"114",0.954971404557293
"115",0.177260120345379
"116",0.961820848092832
"117",0.988315171939774
"118",0.956853880971229
"119",0.99
