name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5057471264367817,3.24
2_DecisionTree,Decision Tree,accuracy,0.9770114942528736,8.48
3_Linear,Linear,accuracy,0.9770114942528736,7.27
4_Default_Xgboost,Xgboost,accuracy,0.9770114942528736,8.81
5_Default_NeuralNetwork,Neural Network,accuracy,0.9655172413793104,4.32
6_Default_RandomForest,Random Forest,accuracy,0.9770114942528736,10.69
Ensemble,Ensemble,accuracy,0.9770114942528736,0.18
