name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5287356321839081,4.48
2_DecisionTree,Decision Tree,accuracy,0.9885057471264368,10.32
3_Linear,Linear,accuracy,0.9655172413793104,7.91
4_Default_Xgboost,Xgboost,accuracy,0.9885057471264368,11.2
5_Default_NeuralNetwork,Neural Network,accuracy,0.9770114942528736,4.34
6_Default_RandomForest,Random Forest,accuracy,0.9885057471264368,11.23
Ensemble,Ensemble,accuracy,0.9885057471264368,0.32
