name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5057471264367817,0.84
2_DecisionTree,Decision Tree,accuracy,1.0,4.44
3_Linear,Linear,accuracy,1.0,3.77
4_Default_Xgboost,Xgboost,accuracy,1.0,3.75
5_Default_NeuralNetwork,Neural Network,accuracy,0.9770114942528736,2.45
6_Default_RandomForest,Random Forest,accuracy,1.0,6.71
Ensemble,Ensemble,accuracy,1.0,0.18
