name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5057471264367817,0.75
2_DecisionTree,Decision Tree,accuracy,0.8390804597701149,11.78
3_Linear,Linear,accuracy,0.896551724137931,3.86
4_Default_Xgboost,Xgboost,accuracy,0.9655172413793104,4.69
5_Default_NeuralNetwork,Neural Network,accuracy,0.9770114942528736,2.58
6_Default_RandomForest,Random Forest,accuracy,0.9425287356321839,7.83
Ensemble,Ensemble,accuracy,0.9885057471264368,0.4
