name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5287356321839081,37.13
2_DecisionTree,Decision Tree,accuracy,0.8850574712643678,10.79
3_Linear,Linear,accuracy,0.8850574712643678,3.54
4_Default_Xgboost,Xgboost,accuracy,0.896551724137931,3.82
5_Default_NeuralNetwork,Neural Network,accuracy,0.9080459770114943,2.02
6_Default_RandomForest,Random Forest,accuracy,0.9080459770114943,7.1
Ensemble,Ensemble,accuracy,0.9655172413793104,0.34
