feature,weight
intercept,-0.9975778742687355
return_mean1,-0.3912497295474899
return_mean2,-0.9048100036917834
return_sd1,0.9878099818549461
return_sd2,0.10292308028481907
return_skew1,0.32101435445904186
return_skew2,0.3106513336235419
return_kurtosis1,-0.3391950336121954
return_kurtosis2,-0.10314254537042565
return_autocorrelation_lag1_1,0.1801071783885946
return_autocorrelation_lag1_2,-0.04215648085042419
return_autocorrelation_lag1_rolling_sd1,2.405619316142639
return_autocorrelation_lag1_rolling_sd2,2.681055428025588
return_correlation_ts1_lag_0,-0.1848524680011336
return_correlation_ts1_lag_1,0.19112896839337815
return_correlation_ts1_lag_2,0.16143150658314437
return_correlation_ts1_lag_3,-0.17464595588839218
return_correlation_ts2_lag_1,-0.11665710110134266
return_correlation_ts2_lag_2,0.03374916732001335
return_correlation_ts2_lag_3,-0.3461372814299873
price2_granger_cause_price1,0.056328633125830335
price1_granger_cause_price2,0.29522619464335703
