name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,accuracy,0.5057471264367817,1.81
2_DecisionTree,Decision Tree,accuracy,0.896551724137931,6.52
3_Linear,Linear,accuracy,0.9195402298850575,5.15
4_Default_Xgboost,Xgboost,accuracy,0.9655172413793104,5.15
5_Default_NeuralNetwork,Neural Network,accuracy,0.9770114942528736,3.2
6_Default_RandomForest,Random Forest,accuracy,0.9425287356321839,8.09
Ensemble,Ensemble,accuracy,0.9885057471264368,0.35
